"depto_cod","departamento","Enero","Febrero","Marzo","Abril","Mayo","Total_Ventas"
"05-37","MANICURIA","39.00","48.00","30.00","19.00","12.00","148.00"
"07-05","COLONIAS/BODY SPLASH","27.00","21.00","46.00","21.00","25.00","140.00"
"25-62","MARGARINAS","30.27","20.21","24.07","26.70","31.65","132.90"
"04-50","POMADAS","11.00","7.00","10.00","46.00","58.00","132.00"
"07-18","ENJUAGUES/SPRAY BUCAL","30.00","11.00","40.00","39.00","11.00","131.00"
"09-54","BOTELLA","21.00","0","57.00","35.00","14.00","127.00"
"16-20","HOJAS CANSON/CALCAR","10.00","35.00","44.00","34.00","0","123.00"
"90-14","GORROS","42.00","26.00","5.00","7.00","42.00","122.00"
"09-16","CUBIERTOS","20.00","17.00","40.00","26.00","16.00","119.00"
"16-07","CARPETAS","5.00","20.00","56.00","38.00","0","119.00"
"01-06","EXTRACTO DE TOMATE","25.00","16.00","27.00","22.00","28.00","118.00"
"04-42","AZUFRE","23.00","11.00","12.00","15.00","55.00","116.00"
"20-05","SET DE BELLEZA","28.00","26.00","16.00","29.00","14.00","113.00"
"06-19","BISCUITS","35.00","7.00","27.00","25.00","17.00","111.00"
"09-06","TUPPER","0","111.00","0","0","0","111.00"
"04-33","FRANELAS","16.00","18.00","26.00","45.00","5.00","110.00"
"04-62","RATICIDA","32.00","24.00","10.00","17.00","26.00","109.00"
"07-43","MAQUILLAJE","6.00","1.00","9.00","3.00","89.00","108.00"
"19-03","Bombucha","0","95.00","11.00","0","0","106.00"
"03-12","MALVAVISCOS","3.00","0","0","0","101.00","104.00"
"01-37","SABORIZANTES","20.00","25.00","22.00","24.00","13.00","104.00"
"16-03","LAPICES","1.00","33.00","41.00","11.00","14.00","100.00"
"90-20","PANTALONES JOGGER","4.00","0","4.00","47.00","44.00","99.00"
"90-89","FRAZADAS/ACOLCHADOS","14.00","0","9.00","38.00","37.00","98.00"
"07-19","CUIDADO DEL BEB","24.00","22.00","19.00","14.00","18.00","97.00"
"20-09","DIDACTICOS/BLOQUES/VARIOS","30.00","16.00","17.00","19.00","13.00","95.00"
"09-08","PLATOS","0","95.00","0","0","0","95.00"
"04-41","QUITAMANCHAS","28.00","33.00","16.00","10.00","4.00","91.00"
"04-44","PALAS","3.00","2.00","19.00","43.00","23.00","90.00"
"05-15","HILO","30.00","28.00","18.00","12.00","0","88.00"
"19-01","SERPENTINAS","28.00","43.00","9.00","5.00","1.00","86.00"
"15-13","SIDRAS","53.00","26.00","5.00","0","1.00","85.00"
