"depto_cod","departamento","Enero","Febrero","Marzo","Abril","Mayo","Total_Ventas"
"09-20","3,00 3  ***","0","0","0","0","0.00","0.00"
"09-37","6,00 3  ***","0.00","0","0","0","0","0.00"
"00-00","0,00 3  ***","0.00","0","0","0","0","0.00"
"09-30","17,00 3  ***","0","0","0.00","0","0","0.00"
"09-29","5,00 3  ***","0","0","0.00","0","0","0.00"
"09-65","4,00 3  ***","0","0","0.00","0","0","0.00"
"09-39","8,00 3  ***","0","0","0","0.00","0","0.00"
"09-42","5,00 3  ***","0","0","0","0.00","0","0.00"
"09-51","13,00 3  ***","0.00","0","0","0","0","0.00"
"09-38","55,00 3  ***","0","0","0.00","0","0","0.00"
"09-31","18,00 3  ***","0","0","0","0","0.00","0.00"
"09-14","2,00 3  ***","0","0","0","0","0.00","0.00"
"09-30","27,00 3  ***","0","0","0","0","0.00","0.00"
"09-59","3,00 3  ***","0","0","0.00","0","0","0.00"
"09-64","5,00 3  ***","0","0","0","0.00","0","0.00"
"09-34","6,00 3  ***","0","0","0","0.00","0","0.00"
"09-39","2,00 3  ***","0","0","0","0","0.00","0.00"
"09-25","1,00 3  ***","0","0","0","0.00","0.00","0.00"
"09-01","6,00 3  ***","0","0","0","0","0.00","0.00"
"09-43","47,00 3  ***","0","0","0","0.00","0","0.00"
"09-14","6,00 3  ***","0.00","0","0","0","0","0.00"
"09-43","68,00 3  ***","0.00","0","0","0","0","0.00"
"09-26","3,00 3  ***","0","0","0","0","0.00","0.00"
"09-28","8,00 3  ***","0","0","0","0","0.00","0.00"
"09-44","1,00 3  ***","0","0","0","0.00","0","0.00"
"09-28","32,00 3  ***","0","0","0.00","0","0","0.00"
"09-18","1,00 3  ***","0","0","0.00","0","0","0.00"
"09-38","23,00 3  ***","0","0","0","0.00","0","0.00"
"09-61","1,00 3  ***","0.00","0","0","0.00","0","0.00"
"09-26","14,00 3  ***","0","0","0","0.00","0","0.00"
"09-26","30,00 3  ***","0","0","0.00","0","0","0.00"
"09-14","1,00 3  ***","0","0","0","0.00","0","0.00"
"09-01","4,00 3  ***","0.00","0","0.00","0","0","0.00"
"09-20","51,00 3  ***","0","0","0.00","0","0","0.00"
"09-35","4,00 3  ***","0","0","0","0.00","0","0.00"
"09-37","4,00 3  ***","0","0","0","0.00","0","0.00"
"09-27","21,00 3  ***","0","0","0","0.00","0","0.00"
"09-65","1,00 3  ***","0","0","0","0.00","0","0.00"
"09-19","23,00 3  ***","0","0","0.00","0","0","0.00"
"09-14","12,00 3  ***","0","0","0.00","0","0","0.00"
"90-20","2,00 3  ***","0","0.00","0","0","0","0.00"
"09-23","2,00 3  ***","0","0","0","0.00","0","0.00"
"09-51","10,00 3  ***","0","0","0.00","0","0","0.00"
"09-59","53,00 3  ***","0.00","0","0","0","0","0.00"
"09-31","39,00 3  ***","0","0","0.00","0","0","0.00"
"09-19","9,00 3  ***","0","0","0","0","0.00","0.00"
"09-19","7,00 3  ***","0.00","0","0","0","0","0.00"
"09-37","9,00 3  ***","0","0","0","0","0.00","0.00"
"09-38","26,00 3  ***","0.00","0","0","0","0","0.00"
"09-29","2,00 3  ***","0.00","0","0","0","0","0.00"
"09-31","21,00 3  ***","0","0","0","0.00","0","0.00"
"09-59","9,00 3  ***","0","0","0","0.00","0","0.00"
"09-34","12,00 3  ***","0.00","0","0.00","0","0","0.00"
"09-42","12,00 3  ***","0","0","0.00","0","0","0.00"
"09-31","56,00 3  ***","0.00","0","0","0","0","0.00"
"09-56","1,00 3  ***","0","0","0","0","0.00","0.00"
"09-44","5,00 3  ***","0","0","0.00","0","0","0.00"
"09-27","1,00 3  ***","0.00","0","0","0","0","0.00"
"09-28","30,00 3  ***","0.00","0","0","0","0","0.00"
"09-51","4,00 3  ***","0","0","0","0.00","0","0.00"
"09-41","2,00 3  ***","0.00","0","0","0","0","0.00"
"09-45","30,00 3  ***","0.00","0","0","0","0","0.00"
"09-56","4,00 3  ***","0","0","0.00","0.00","0","0.00"
"09-28","29,00 3  ***","0","0","0","0.00","0","0.00"
"09-37","11,00 3  ***","0","0","0.00","0","0","0.00"
"09-64","1,00 3  ***","0","0","0.00","0","0","0.00"
"09-51","1,00 3  ***","0","0","0","0","0.00","0.00"
"09-41","3,00 3  ***","0","0","0.00","0.00","0","0.00"
"09-19","19,00 3  ***","0","0","0","0.00","0","0.00"
"09-35","16,00 3  ***","0","0","0.00","0","0","0.00"
