"depto_cod","departamento","Fair","Burzaco","A.Korn","Tucuman","Total_Global"
"09-01","6,00 3  ***","0","0","0.00","0.00","0.00"
"09-37","9,00 3  ***","0","0","0","0.00","0.00"
"09-18","7,00 3  ***","0.00","0","0","0","0.00"
"09-65","5,00 3  ***","0","0","0","0.00","0.00"
"09-28","8,00 3  ***","0","0","0.00","0.00","0.00"
"09-01","4,00 3  ***","0","0.00","0","0","0.00"
"09-31","18,00 3  ***","0","0","0","0.00","0.00"
"09-30","27,00 3  ***","0","0","0","0.00","0.00"
"09-27","1,00 3  ***","0","0","0.00","0","0.00"
"09-39","2,00 3  ***","0","0","0","0.00","0.00"
"09-51","1,00 3  ***","0","0","0","0.00","0.00"
"09-44","4,00 3  ***","0.00","0","0","0","0.00"
"09-43","15,00 3  ***","0.00","0","0","0","0.00"
"09-23","2,00 3  ***","0.00","0","0","0","0.00"
"09-51","2,00 3  ***","0","0","0.00","0","0.00"
"09-09","4,00 3  ***","0","0","0.00","0","0.00"
"09-27","7,00 3  ***","0","0.00","0","0","0.00"
"09-20","4,00 3  ***","0","0","0.00","0","0.00"
"09-34","9,00 3  ***","0","0","0.00","0","0.00"
"09-45","22,00 3  ***","0","0","0","0.00","0.00"
"09-65","3,00 3  ***","0","0","0.00","0","0.00"
"09-08","18,00 3  ***","0","0.00","0","0","0.00"
"09-56","5,00 3  ***","0.00","0","0","0","0.00"
"09-14","4,00 3  ***","0","0","0.00","0","0.00"
"09-51","3,00 3  ***","0.00","0","0","0","0.00"
"09-06","44,00 3  ***","0","0","0","0.00","0.00"
"09-65","1,00 3  ***","0.00","0","0","0","0.00"
"09-45","18,00 3  ***","0.00","0","0","0","0.00"
"09-42","7,00 3  ***","0","0","0","0.00","0.00"
"09-34","2,00 3  ***","0","0.00","0","0","0.00"
"09-56","1,00 3  ***","0","0","0","0.00","0.00"
